image_url,id,w_cm,idx,color,proportion,color_name
"14427391.jpg",14427391,"5.7",1,"#e9e4e1",0.5306888889,"white","Kurland Mass House"
"14427389.jpg",14427389,"4",1,"#211e1b",0.09857777778,"black","Koch"
"14427389.jpg",14427389,"4",1,"#211e1b",0.09857777778,"black","Koch"
"14427389.jpg",14427389,"4",1,"#211e1b",0.09857777778,"black","Koch"
"14427389.jpg",14427389,"4",1,"#211e1b",0.09857777778,"black","Koch"
"14427389.jpg",14427389,"4",1,"#211e1b",0.09857777778,"black","Koch"
"14427394.jpg",14427394,"5.8",1,"#2e2d2a",0.4094777778,"black","John Lakian Governor Republican"
"14427394.jpg",14427394,"5.8",1,"#2e2d2a",0.4094777778,"black","John Lakian Governor Republican"
"14427394.jpg",14427394,"5.8",1,"#2e2d2a",0.4094777778,"black","John Lakian Governor Republican"
"14427394.jpg",14427394,"5.8",1,"#2e2d2a",0.4094777778,"black","John Lakian Governor Republican"
"14427394.jpg",14427394,"5.8",1,"#2e2d2a",0.4094777778,"black","John Lakian Governor Republican"
"14427388.jpg",14427388,"3.6",1,"#302e2b",0.3860888889,"black","Congressman Koch"
"14427388.jpg",14427388,"3.6",1,"#302e2b",0.3860888889,"black","Congressman Koch"
"14427388.jpg",14427388,"3.6",1,"#302e2b",0.3860888889,"black","Congressman Koch"
"14427388.jpg",14427388,"3.6",1,"#302e2b",0.3860888889,"black","Congressman Koch"
"14427388.jpg",14427388,"3.6",1,"#302e2b",0.3860888889,"black","Congressman Koch"
"14427393.jpg",14427393,"3.5",1,"#9d9279",0.08704444444,"gray","D. La Plante For Rep"
"14427393.jpg",14427393,"3.5",1,"#9d9279",0.08704444444,"gray","D. La Plante For Rep"
"14427393.jpg",14427393,"3.5",1,"#9d9279",0.08704444444,"gray","D. La Plante For Rep"
"14427393.jpg",14427393,"3.5",1,"#9d9279",0.08704444444,"gray","D. La Plante For Rep"
"14427393.jpg",14427393,"3.5",1,"#9d9279",0.08704444444,"gray","D. La Plante For Rep"
"14427392.jpg",14427392,"5.5",1,"#a7a3a0",0.09436666667,"gray","picture of La Guardia"
"14427392.jpg",14427392,"5.5",1,"#a7a3a0",0.09436666667,"gray","picture of La Guardia"
"14427392.jpg",14427392,"5.5",1,"#a7a3a0",0.09436666667,"gray","picture of La Guardia"
"14427392.jpg",14427392,"5.5",1,"#a7a3a0",0.09436666667,"gray","picture of La Guardia"
"14427392.jpg",14427392,"5.5",1,"#a7a3a0",0.09436666667,"gray","picture of La Guardia"
"14427390.jpg",14427390,"4.4",1,"#d41521",0.1782666667,"brown","Elect Kohn Selectman"
"14427390.jpg",14427390,"4.4",1,"#d41521",0.1782666667,"brown","Elect Kohn Selectman"
"14427390.jpg",14427390,"4.4",1,"#d41521",0.1782666667,"brown","Elect Kohn Selectman"
"14427390.jpg",14427390,"4.4",1,"#d41521",0.1782666667,"brown","Elect Kohn Selectman"
"14427390.jpg",14427390,"4.4",1,"#d41521",0.1782666667,"brown","Elect Kohn Selectman"
"14427400.jpg",14427400,"5.5",1,"#b69987",0.06993333333,"gray","Mary LeClair State Treasurer"
"14427400.jpg",14427400,"5.5",1,"#b69987",0.06993333333,"gray","Mary LeClair State Treasurer"
"14427400.jpg",14427400,"5.5",1,"#b69987",0.06993333333,"gray","Mary LeClair State Treasurer"
"14427400.jpg",14427400,"5.5",1,"#b69987",0.06993333333,"gray","Mary LeClair State Treasurer"
"14427400.jpg",14427400,"5.5",1,"#b69987",0.06993333333,"gray","Mary LeClair State Treasurer"
"14427397.jpg",14427397,"5.6",1,"#d1606d",0.01983333333,"gray","Langone"
"14427397.jpg",14427397,"5.6",1,"#d1606d",0.01983333333,"gray","Langone"
"14427397.jpg",14427397,"5.6",1,"#d1606d",0.01983333333,"gray","Langone"
"14427397.jpg",14427397,"5.6",1,"#d1606d",0.01983333333,"gray","Langone"
"14427397.jpg",14427397,"5.6",1,"#d1606d",0.01983333333,"gray","Langone"
"14427401.jpg",14427401,"4.5",1,"#2f2d2a",0.3935222222,"black","Vote with me Elect Lee"
"14427401.jpg",14427401,"4.5",1,"#2f2d2a",0.3935222222,"black","Vote with me Elect Lee"
"14427401.jpg",14427401,"4.5",1,"#2f2d2a",0.3935222222,"black","Vote with me Elect Lee"
"14427401.jpg",14427401,"4.5",1,"#2f2d2a",0.3935222222,"black","Vote with me Elect Lee"
"14427401.jpg",14427401,"4.5",1,"#2f2d2a",0.3935222222,"black","Vote with me Elect Lee"
"14427396.jpg",14427396,"2.2",1,"#ad8317",0.09805555556,"brown","Landon Knox GOP"
"14427396.jpg",14427396,"2.2",1,"#ad8317",0.09805555556,"brown","Landon Knox GOP"
"14427396.jpg",14427396,"2.2",1,"#ad8317",0.09805555556,"brown","Landon Knox GOP"
"14427396.jpg",14427396,"2.2",1,"#ad8317",0.09805555556,"brown","Landon Knox GOP"
"14427396.jpg",14427396,"2.2",1,"#ad8317",0.09805555556,"brown","Landon Knox GOP"
"14427399.jpg",14427399,"5.5",1,"#302d29",0.3961777778,"black","LaRouche for President"
"14427399.jpg",14427399,"5.5",1,"#302d29",0.3961777778,"black","LaRouche for President"
"14427399.jpg",14427399,"5.5",1,"#302d29",0.3961777778,"black","LaRouche for President"
"14427399.jpg",14427399,"5.5",1,"#302d29",0.3961777778,"black","LaRouche for President"
"14427399.jpg",14427399,"5.5",1,"#302d29",0.3961777778,"black","LaRouche for President"
"14427398.jpg",14427398,"4.5",1,"#322f2c",0.4184222222,"black","I like Larkin"
"14427398.jpg",14427398,"4.5",1,"#322f2c",0.4184222222,"black","I like Larkin"
"14427398.jpg",14427398,"4.5",1,"#322f2c",0.4184222222,"black","I like Larkin"
"14427398.jpg",14427398,"4.5",1,"#322f2c",0.4184222222,"black","I like Larkin"
"14427398.jpg",14427398,"4.5",1,"#322f2c",0.4184222222,"black","I like Larkin"
"14427395.jpg",14427395,"5.6",1,"#332d29",0.4055,"black","Elect Landau Selectman"
"14427395.jpg",14427395,"5.6",1,"#332d29",0.4055,"black","Elect Landau Selectman"
"14427395.jpg",14427395,"5.6",1,"#332d29",0.4055,"black","Elect Landau Selectman"
"14427395.jpg",14427395,"5.6",1,"#332d29",0.4055,"black","Elect Landau Selectman"
"14427395.jpg",14427395,"5.6",1,"#332d29",0.4055,"black","Elect Landau Selectman"
"14427406.jpg",14427406,"3.5",1,"#302c28",0.5887666667,"black","Lenin profile on red ribbon"
"14427406.jpg",14427406,"3.5",1,"#302c28",0.5887666667,"black","Lenin profile on red ribbon"
"14427406.jpg",14427406,"3.5",1,"#302c28",0.5887666667,"black","Lenin profile on red ribbon"
"14427406.jpg",14427406,"3.5",1,"#302c28",0.5887666667,"black","Lenin profile on red ribbon"
"14427406.jpg",14427406,"3.5",1,"#302c28",0.5887666667,"black","Lenin profile on red ribbon"
"14427402.jpg",14427402,"5.6",1,"#1d249b",0.1661333333,"purple","Jack Leff for Congress"
"14427402.jpg",14427402,"5.6",1,"#1d249b",0.1661333333,"purple","Jack Leff for Congress"
"14427402.jpg",14427402,"5.6",1,"#1d249b",0.1661333333,"purple","Jack Leff for Congress"
"14427402.jpg",14427402,"5.6",1,"#1d249b",0.1661333333,"purple","Jack Leff for Congress"
"14427402.jpg",14427402,"5.6",1,"#1d249b",0.1661333333,"purple","Jack Leff for Congress"
"14427408.jpg",14427408,"2.5",1,"#332e2a",0.447,"black","Profile of Lenin pin"
"14427408.jpg",14427408,"2.5",1,"#332e2a",0.447,"black","Profile of Lenin pin"
"14427408.jpg",14427408,"2.5",1,"#332e2a",0.447,"black","Profile of Lenin pin"
"14427408.jpg",14427408,"2.5",1,"#332e2a",0.447,"black","Profile of Lenin pin"
"14427408.jpg",14427408,"2.5",1,"#332e2a",0.447,"black","Profile of Lenin pin"
"14427405.jpg",14427405,"3",1,"#4e0f18",0.2334,"black","Profile of Lenin pin"
"14427405.jpg",14427405,"3",1,"#4e0f18",0.2334,"black","Profile of Lenin pin"
"14427405.jpg",14427405,"3",1,"#4e0f18",0.2334,"black","Profile of Lenin pin"
"14427405.jpg",14427405,"3",1,"#4e0f18",0.2334,"black","Profile of Lenin pin"
"14427405.jpg",14427405,"3",1,"#4e0f18",0.2334,"black","Profile of Lenin pin"
"14427403.jpg",14427403,"3",1,"#4994bf",0.07345555556,"gray","Lefkowitz Attorney General"
"14427403.jpg",14427403,"3",1,"#4994bf",0.07345555556,"gray","Lefkowitz Attorney General"
"14427403.jpg",14427403,"3",1,"#4994bf",0.07345555556,"gray","Lefkowitz Attorney General"
"14427403.jpg",14427403,"3",1,"#4994bf",0.07345555556,"gray","Lefkowitz Attorney General"
"14427403.jpg",14427403,"3",1,"#4994bf",0.07345555556,"gray","Lefkowitz Attorney General"
"14427407.jpg",14427407,"2.5",1,"#9f9d9f",0.06773333333,"gray","Profile of Lenin pin"
