filename,hex_code,R,G,B,color_name
color_143.png,#962e35,150,46,53,brown
color_144.png,#23385c,35,56,92,darkslategray
color_145.png,#b3aca6,179,172,166,darkgray
color_146.png,#c4292c,196,41,44,firebrick
color_147.png,#dedbd3,222,219,211,gainsboro
color_148.png,#243a85,36,58,133,darkslateblue
color_149.png,#ad9e9c,173,158,156,darkgray
color_150.png,#232221,35,34,33,black
color_151.png,#7c3f32,124,63,50,saddlebrown
color_152.png,#bebab3,190,186,179,silver
color_153.png,#46416c,70,65,108,darkslateblue
color_154.png,#272625,39,38,37,darkslategray
color_155.png,#827f81,130,127,129,gray
color_156.png,#182c75,24,44,117,midnightblue
color_157.png,#201f21,32,31,33,black
color_158.png,#9ca0a8,156,160,168,darkgray
color_159.png,#9a262e,154,38,46,brown
color_160.png,#465689,70,86,137,darkslateblue
color_161.png,#a9a9ad,169,169,173,darkgray
color_162.png,#20201f,32,32,31,black
color_163.png,#292561,41,37,97,midnightblue
color_164.png,#b72e36,183,46,54,brown
color_165.png,#867283,134,114,131,gray
color_166.png,#60a1a2,96,161,162,cadetblue
color_167.png,#067a9c,6,122,156,darkcyan
color_168.png,#28273d,40,39,61,darkslategray
color_169.png,#e8df23,232,223,35,gold
color_170.png,#d4dace,212,218,206,lightgray
color_171.png,#afa247,175,162,71,peru
color_172.png,#272b53,39,43,83,midnightblue
color_173.png,#50517a,80,81,122,darkslateblue
color_174.png,#292674,41,38,116,midnightblue
color_175.png,#1e1e1f,30,30,31,black
color_176.png,#bf4639,191,70,57,sienna
color_177.png,#57302b,87,48,43,darkolivegreen
color_178.png,#cea057,206,160,87,darkkhaki
color_179.png,#232120,35,33,32,black
color_180.png,#b1694c,177,105,76,indianred
color_181.png,#d8d0c7,216,208,199,lightgray
color_182.png,#2093b5,32,147,181,lightseagreen
color_183.png,#262524,38,37,36,darkslategray
color_184.png,#7a8486,122,132,134,gray
color_185.png,#a9aead,169,174,173,darkgray
color_186.png,#1f1f1f,31,31,31,black
color_187.png,#b5b5ba,181,181,186,silver
color_188.png,#045947,4,89,71,darkslategray
color_189.png,#658b83,101,139,131,slategray
color_190.png,#366e60,54,110,96,seagreen
color_191.png,#5c5877,92,88,119,dimgray
color_192.png,#1f6590,31,101,144,teal
color_193.png,#1f1f1f,31,31,31,black
color_194.png,#873349,135,51,73,brown
color_195.png,#b6b4c0,182,180,192,silver
color_196.png,#d9d6dc,217,214,220,gainsboro
color_197.png,#ba383f,186,56,63,brown
color_198.png,#2b2727,43,39,39,darkslategray
color_199.png,#64494b,100,73,75,dimgray
color_200.png,#a69396,166,147,150,rosybrown
color_201.png,#1e1f1f,30,31,31,black
color_202.png,#c3c3cb,195,195,203,silver
color_203.png,#0d4d65,13,77,101,darkslategray
color_204.png,#859dad,133,157,173,lightslategray
color_205.png,#446879,68,104,121,dimgray
color_206.png,#b8bdc2,184,189,194,silver
color_207.png,#24416e,36,65,110,darkslategray
color_208.png,#222222,34,34,34,black
color_209.png,#d6d8db,214,216,219,gainsboro
color_210.png,#687891,104,120,145,slategray
color_211.png,#1f1f1f,31,31,31,black
color_212.png,#b4b5c8,180,181,200,silver
color_213.png,#626e8a,98,110,138,slategray
color_214.png,#273a5f,39,58,95,darkslategray
color_215.png,#989faf,152,159,175,darkgray
color_216.png,#282622,40,38,34,darkslategray
color_217.png,#338175,51,129,117,seagreen
color_218.png,#c6b981,198,185,129,tan
color_219.png,#768e7a,118,142,122,gray
color_220.png,#435345,67,83,69,darkslategray
color_221.png,#28251f,40,37,31,black
color_222.png,#b98503,185,133,3,darkgoldenrod
color_223.png,#144341,20,67,65,darkslategray
color_224.png,#b39c6e,179,156,110,darkkhaki
color_225.png,#68541d,104,84,29,darkolivegreen
color_226.png,#ad4a49,173,74,73,sienna
color_227.png,#211f1e,33,31,30,black
