"filename","image_url","name","office","party","date_int","w_cm","color_name"
"14022921.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022921.jpg","Carter Mondale","President","Democrat",,,
"14022920.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022920.jpg","Carter for the Country, Jimmy Carter for President","President","Democrat",1976,,
"14022919.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022919.jpg","Golden peanut pin (Cater)","President","Democrat",,,
"14022918.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022918.jpg","Jim Carrigan",,,,,
"14022917.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022917.jpg","The Carmen Cause. For Newton's Sake.","Mayor",,,,
"14022916.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022916.jpg","Bill Carmen for Mayor","Mayor",,,,
"14022915.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022915.jpg","Carlin Governor","Governor","Democrat",1978,,
"14022914.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022914.jpg","Labor for Carey","Governor","Democrat",1974,,
"14022913.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022913.jpg","For Governor Carey","Governor","Democrat",1974,,
"14022912.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022912.jpg","Elect Carey Governor","Governor","Democrat",1974,,
"14022911.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022911.jpg","Carey for Governor Cuomo for Lt. Governor","Governor","Democrat",,,
"14022910.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022910.jpg","Andy Card Governor","Governor","Republican",,,
"14022909.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022909.jpg","Mike '72","Senate","Democrat",1972,,
"14022908.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022908.jpg","Mike '72","Senate","Democrat",1972,,
"14022907.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022907.jpg","I'm for Mike","Senate","Democrat",,,
"14022906.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022906.jpg","I Like Mike","Senate","Democrat",2010,,
"14022905.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022905.jpg","Capuano I like Mike U.S. Senate","Senate","Democrat",2010,,
"14022904.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022904.jpg","Calderon Presidente el que mos piensa en el que menos tiene","President",,,,
"14022903.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022903.jpg","Calderon es el hombre nueva era","President",,,,
"14022902.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022902.jpg","Cahill","Governor","Independent",2010,,
"14022900.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022900.jpg","The Garrett Byrne Team","District Attorney",,1960,,
"14022899.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022899.jpg","Businger Yes!",,,,,
"14022898.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022898.jpg","Businger Secretary of State","Secretary of State",,,,
"14022897.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022897.jpg","Businger Brookline",,,,,
"14022896.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022896.jpg","Businger",,,,,
"14022895.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022895.jpg","Bushong City Council","City Council",,1994,,
"14022894.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022894.jpg","Shit happens (picture of Bush)","President",,1992,,
"14022893.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022893.jpg","George Bush for President Just Say No!","President",,,,
"14022892.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022892.jpg","George Bush for President","President",,1980,,
"14022891.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022891.jpg","G.B. for P.","President",,1980,,
"14022890.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022890.jpg","Bush for President","President",,1988,,
"14022889.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022889.jpg","Bush","President",,,,
"14022888.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022888.jpg","Bush","President",,,,
"14022887.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022887.jpg","Elect a workhorse George Busbee Governor","President",,,,
"14022886.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022886.jpg","Elect a workhorse George Busbee Governor","Governor","Democrat",1974,,
"14022885.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022885.jpg","Build with Haydon Burns","Governor","Democrat",1964,,
"14022884.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022884.jpg","Re-elect Representative Nick Buglione","Representative","Democrat",,,
"14022883.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022883.jpg","Deputy for Sheriff Buckley","Sheriff","Republican",1974,,
"14022882.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022882.jpg","Sen. Anna P. Buckley Honorary Senator","Senate",,,,
"14022881.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022881.jpg","United States Senator Buckley 1980","Senate",,1980,,
"14022880.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022880.jpg","Buckley",,,,,
"14022879.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022879.jpg","Browne",,,,,
